comuna;zona;sexo;edad;ecivil;educ;activ;P1;P2;P3;P4;P5;P6;P7;Y1;Y2;Ytot;Ytot2
Iquique;Urbano;Hombre;26;Conviviente o pareja;M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;830000;1673;831673;380000
Iquique;Urbano;Mujer;42;Soltero(a);M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N5;510000;0;630000;390000
Iquique;Urbano;Mujer;41;Separado(a);TŽcnico Nivel Superior Completo;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;510000;1000;591000;410000
Iquique;Urbano;Mujer;61;Separado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N5;220000;0;420000;220000
Iquique;Urbano;Hombre;62;Casado(a);Postgrado Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N10;3606747;0;4056747;2356667
Iquique;Urbano;Hombre;59;Casado(a);TŽcnico Nivel Superior Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N5;2611458;0;2611458;2501458
Iquique;Urbano;Mujer;54;Casado(a);M. Hum. Completa;Ocupados;S’;S’;Chilena (exclusivamente);En otra comuna;S’;S’;N7;1106667;0;1106667;326667
Iquique;Urbano;Mujer;56;Casado(a);M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N6;780000;0;780000;180000
Iquique;Urbano;Mujer;58;Conviviente o pareja;TŽcnico Nivel Superior Completo;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;550000;0;550000;200000
Iquique;Urbano;Mujer;37;Casado(a);B‡sica Incom.;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N7;1340000;0;1340000;450000
Iquique;Urbano;Hombre;25;Soltero(a);Profesional  Incompleto;Ocupados;No;No;Chilena (exclusivamente);En otra comuna;No;S’;N8;2800000;10972;2810972;500000
Iquique;Urbano;Hombre;67;Soltero(a);TŽcnico Nivel Superior Incompleta;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;No;No;N4;900000;0;1150000;300000
Iquique;Urbano;Mujer;30;Soltero(a);M. Hum. Incompleta;Ocupados;S’;No;Otra nacionalidad (extranjeros);En esta comuna;S’;No;N7;742000;25878;767878;251000
Iquique;Urbano;Mujer;47;Soltero(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1452083;0;1852083;1452083
Iquique;Urbano;Mujer;30;Separado(a);M. Hum. Incompleta;Ocupados;S’;No;Otra nacionalidad (extranjeros);En esta comuna;S’;No;N5;752000;8626;760626;251000
Iquique;Urbano;Hombre;43;Soltero(a);M. Hum. Completa;Ocupados;S’;S’;Otra nacionalidad (extranjeros);En esta comuna;S’;S’;N10;3736000;0;4226000;3336000
Iquique;Urbano;Hombre;36;Soltero(a);Profesional Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;NS/NR;1500000;0;1500000;1500000
Iquique;Urbano;Hombre;76;Casado(a);M. TŽc. Prof. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N5;740000;22044;1062044;300000
Iquique;Urbano;Mujer;52;Soltero(a);M. Hum. Completa;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;No;S’;N10;120000;0;370000;120000
Iquique;Urbano;Hombre;49;Casado(a);M. Hum. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;No;N6;510000;8626;518626;300000
Iquique;Urbano;Hombre;97;Soltero(a);M. Hum. Completa;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N5;200000;0;200000;200000
Iquique;Urbano;Hombre;30;Casado(a);TŽcnico Nivel Superior Completo;Ocupados;S’;S’;Otra nacionalidad (extranjeros);En otra comuna;S’;S’;N7;330000;8626;338626;30000
Iquique;Urbano;Mujer;61;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1480000;82058;1562058;300000
Iquique;Urbano;Mujer;18;Soltero(a);M. Hum. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N9;100000;19333;119333;100000
Iquique;Urbano;Hombre;43;Soltero(a);M. Hum. Completa;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N10;386000;0;386000;300000
Iquique;Urbano;Hombre;37;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N5;484167;6000;680167;404167
Iquique;Urbano;Mujer;42;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;1157917;7000;1164917;350000
Iquique;Urbano;Hombre;38;Casado(a);M. TŽc Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;S’;N9;900000;0;1060000;900000
Iquique;Urbano;Mujer;38;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N7;462000;112723;1074723;35000
Iquique;Urbano;Mujer;30;Casado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En otra comuna;S’;S’;N10;953934;0;953934;353334
Iquique;Urbano;Mujer;31;Conviviente o pareja;TŽcnico Nivel Superior Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;No;N10;850000;0;990000;250000
Iquique;Urbano;Mujer;41;Conviviente o pareja;TŽcnico Nivel Superior Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;660000;0;660000;304167
Iquique;Urbano;Hombre;54;Casado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N9;404584;0;524584;404584
Iquique;Urbano;Mujer;20;Soltero(a);B‡sica Compl.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N10;80000;58333;138333;80000
Iquique;Urbano;Hombre;42;Soltero(a);M. TŽc Completa;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;No;N10;604583;0;604583;604583
Iquique;Urbano;Hombre;55;Separado(a);Profesional Completo;Ocupados;No;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N6;1200000;0;1400000;1200000
Iquique;Urbano;Mujer;42;Viudo(a);TŽcnico Nivel Superior Completo;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;S’;N7;750000;0;930000;600000
Iquique;Urbano;Hombre;32;Soltero(a);M. TŽc Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;S’;S’;N9;600000;0;600000;600000
Iquique;Urbano;Mujer;75;Viudo(a);M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N10;850000;97000;1107000;20000
Iquique;Urbano;Mujer;29;Divorciado(a);NS/NR;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;No;S’;N7;445000;0;445000;325000
Iquique;Urbano;Mujer;51;Soltero(a);M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N4;234167;8626;242793;234167
Iquique;Urbano;Hombre;63;Casado(a);M. TŽc. Prof. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;978333;200000;1178333;800000
Iquique;Urbano;Mujer;36;Conviviente o pareja;Profesional Completo;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;S’;No;N4;480000;0;600000;200000
Iquique;Urbano;Hombre;26;Conviviente o pareja;M. Hum. Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;S’;No;N9;420000;0;420000;210000
Iquique;Urbano;Mujer;56;Divorciado(a);Profesional  Incompleto;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;870000;10000;1080000;300000
Iquique;Urbano;Hombre;40;Conviviente o pareja;TŽcnico Nivel Superior Incompleta;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;S’;S’;N6;625000;0;625000;325000
Iquique;Urbano;Mujer;34;Separado(a);M. Hum. Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;S’;S’;N5;560000;0;560000;510000
Iquique;Urbano;Hombre;29;Conviviente o pareja;M. Hum. Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;S’;No;N8;470000;0;470000;240000
Iquique;Urbano;Mujer;66;Viudo(a);M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;2125737;17252;2312989;750000
Iquique;Urbano;Mujer;35;Conviviente o pareja;M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N6;2125737;17252;2312989;211000
Iquique;Urbano;Mujer;37;Separado(a);B‡sica Compl.;Ocupados;S’;No;Otra nacionalidad (extranjeros);En esta comuna;S’;S’;N7;430000;0;430000;290000
Iquique;Urbano;Hombre;40;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En otra comuna;S’;S’;N4;680000;0;680000;500000
Iquique;Urbano;Hombre;54;Conviviente o pareja;M. Hum. Incompleta;Ocupados;S’;No;Otra nacionalidad (extranjeros);En otro pa’s;No;No;N8;480000;0;480000;400000
Iquique;Urbano;Hombre;54;Casado(a);B‡sica Incom.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N5;800000;10000;1060000;500000
Iquique;Urbano;Hombre;34;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N10;1372666;90000;1662666;256000
Iquique;Urbano;Mujer;48;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;600000;0;600000;300000
Iquique;Urbano;Mujer;40;Conviviente o pareja;M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;460000;14400;474400;240000
Iquique;Urbano;Hombre;34;Conviviente o pareja;M. Hum. Completa;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N10;1000000;0;1300000;500000
Iquique;Urbano;Hombre;64;Conviviente o pareja;M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N5;308000;0;408000;200000
Iquique;Urbano;Hombre;50;Separado(a);B‡sica Compl.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N10;424167;0;624167;424167
Iquique;Urbano;Mujer;31;Soltero(a);TŽcnico Nivel Superior Completo;Ocupados;No;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N7;550000;0;740000;550000
Iquique;Urbano;Mujer;35;Soltero(a);M. Hum. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En otra comuna;No;S’;N10;390000;13921;403921;240000
Iquique;Urbano;Mujer;32;Casado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N9;1306667;15000;1321667;50000
Iquique;Urbano;Mujer;41;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En otra comuna;S’;S’;N8;650000;21722;671722;250000
Iquique;Urbano;Hombre;28;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N9;857664;0;1057664;403333
Iquique;Urbano;Hombre;30;Casado(a);TŽcnico Nivel Superior Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N8;1054167;0;1054167;650000
Iquique;Urbano;Mujer;57;Divorciado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;No;N5;250000;0;450000;250000
Iquique;Urbano;Hombre;30;Conviviente o pareja;Profesional  Incompleto;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1527583;0;1527583;1225000
Iquique;Urbano;Mujer;28;Casado(a);M. Hum. Completa;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N8;512500;8352;520852;60000
Iquique;Urbano;Mujer;34;Separado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;696250;0;896250;496250
Iquique;Urbano;Hombre;52;Conviviente o pareja;M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;729167;9521;888688;729167
Iquique;Urbano;Mujer;57;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;S’;N8;320833;0;320833;240833
Iquique;Urbano;Hombre;35;Soltero(a);Profesional Completo;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;No;S’;N9;350000;0;350000;350000
Iquique;Urbano;Mujer;61;Separado(a);M. Hum. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N5;136000;15000;331000;30000
Iquique;Urbano;Mujer;23;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;No;N7;812500;0;812500;250000
Iquique;Urbano;Mujer;58;Separado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;1506666;3333;1759999;150000
Iquique;Urbano;Mujer;25;Conviviente o pareja;M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N7;575000;23918;598918;250000
Iquique;Urbano;Mujer;45;Soltero(a);M. TŽc. Prof. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;S’;N8;2070833;0;2070833;455833
Iquique;Urbano;Hombre;58;Casado(a);B‡sica Incom.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;850000;0;1150000;550000
Iquique;Urbano;Mujer;53;Soltero(a);M. Hum. Completa;Desocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;No;No;N6;100000;0;100000;100000
Iquique;Urbano;Mujer;76;Viudo(a);B‡sica Compl.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N9;411000;21559;682559;100000
Iquique;Urbano;Hombre;47;Casado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1205833;8669;1364502;500000
Iquique;Urbano;Hombre;57;Separado(a);B‡sica Incom.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N10;400000;87428;587428;400000
Iquique;Urbano;Mujer;46;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;450000;0;550000;350000
Iquique;Urbano;Mujer;45;Separado(a);M. Hum. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N2;1253334;9774;1403108;951667
Iquique;Urbano;Hombre;42;Conviviente o pareja;M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;600000;23918;623918;400000
Iquique;Urbano;Hombre;43;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N1;720000;0;720000;300000
Iquique;Urbano;Hombre;57;Viudo(a);B‡sica Incom.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N5;459000;0;579000;459000
Iquique;Urbano;Hombre;27;Casado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N7;1896667;0;1896667;1666667
Iquique;Urbano;Hombre;44;Casado(a);B‡sica Incom.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;500000;25878;625878;500000
Iquique;Urbano;Hombre;27;Conviviente o pareja;B‡sica Incom.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N8;816667;3958;820625;816667
Iquique;Urbano;Hombre;36;Conviviente o pareja;M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1000000;3958;1203958;900000
